code,product_label,normalized_category,include_in_default_ps_view,badge_tone,sec_meaning_summary
A,Award / Grant,compensation_acquisition,false,neutral_green,"Grant, award, or other acquisition under Rule 16b-3(d)"
C,Conversion,derivative_conversion,false,neutral,"Conversion of derivative security"
D,Disposition to Issuer,issuer_disposition,false,neutral_coral,"Disposition to issuer under Rule 16b-3(e)"
E,Short Derivative Expiration,derivative_expiration,false,neutral,"Expiration of short derivative position"
F,Tax / Exercise Withholding,tax_or_exercise_withholding,false,neutral_coral,"Payment of exercise price or tax liability through delivery or withholding of securities"
G,Gift,gift,false,neutral,"Bona fide gift"
H,Long Derivative Expiration,derivative_expiration,false,neutral,"Expiration or cancellation of long derivative position with value received"
I,Discretionary Transaction,discretionary_plan,false,neutral,"Discretionary transaction under Rule 16b-3(f)"
J,Other,other,false,neutral,"Other acquisition or disposition; inspect description and footnotes"
L,Small Acquisition,small_acquisition,false,neutral_green,"Small acquisition under Rule 16a-6"
M,Exercise / Conversion,derivative_exercise,false,neutral_green,"Exercise or conversion of derivative security exempt under Rule 16b-3"
O,Out-of-Money Exercise,derivative_exercise,false,neutral,"Exercise of out-of-the-money derivative security"
P,Purchase,purchase,true,purchase,"Open-market or private purchase of a non-derivative or derivative security"
S,Sale,sale,true,sale,"Open-market or private sale of a non-derivative or derivative security"
U,Tender / Change of Control,change_of_control,false,neutral_coral,"Disposition pursuant to tender of shares in a change-of-control transaction"
W,Will / Descent / Distribution,inheritance,false,neutral,"Acquisition or disposition by will or laws of descent and distribution"
X,In/At-the-Money Exercise,derivative_exercise,false,neutral_green,"Exercise of in-the-money or at-the-money derivative security"
Z,Voting Trust Transfer,voting_trust,false,neutral,"Deposit into or withdrawal from voting trust"
